NEW^TOKYO^INTL^A;RJAA;&;47686;35;46N;140;22E;44;X;T;6;JP
MATSUMOTO^AIRPOR;RJAF;&;47709;36;10N;137;55E;660;X;7;JP
HYAKURI^(JASDF)^;RJAH;&;47715;36;10N;140;25E;35;X;T;7;JP
ICHIKAWA^^^^^^^^;RJAI;&;&;35;43N;139;55E;31;X;7;JP
KASUMIGAURA^(JAS;RJAK;&;47716;36;01N;140;11E;29;X;7;JP
MINAMITORISHIMA^;RJAM;&;47991;24;18N;153;58E;9;X;7;JP
CHICHIJIMA^ISLAN;RJAO;&;47971;27;04N;142;10E;8;X;7;JP
FUJI^(JASDF)^^^^;RJAT;&;47721;35;19N;138;52E;683;X;7;JP
IWOJIMA^(JMSDF)^;RJAW;&;47981;24;46N;141;19E;116;X;7;JP
KANSAI^INTL^^^^^;RJBB;&;47774;34;25N;135;15E;8;X;T;6;JP
NANKISHIRAHAMA^A;RJBD;&;47782;33;40N;135;22E;108;X;7;JP
KOBE^^^^^^^^^^^^;RJBE;UKB;&;34;38N;135;14E;5;X;7;JP
HIROSHIMANISHI^^;RJBH;&;&;34;22N;132;25E;5;X;7;JP
TAJIMA^^^^^^^^^^;RJBT;&;&;35;30N;134;48E;210;X;7;JP
ASAHIKAWA^(JASDF;RJCA;&;47477;43;47N;142;22E;118;X;7;JP
OBIHIRO^AIRPORT^;RJCB;&;47490;42;43N;143;13E;152;X;T;7;JP
CHITOSE^(JASDF/C;RJCC;&;47425;42;46N;141;40E;30;X;T;6;JP
HAKODATE^AIRPORT;RJCH;&;47488;41;46N;140;49E;36;X;T;6;JP
CHITOSE^(JASDF)^;RJCJ;&;47434;42;48N;141;40E;27;X;7;JP
KUSHIRO^AIRPORT^;RJCK;&;47489;43;01N;144;11E;98;X;T;7;JP
MEMAMBETSU^AIRPO;RJCM;&;47481;43;53N;144;10E;36;X;T;7;JP
NAKASHIBETSU^ARP;RJCN;&;47483;43;34N;144;58E;70;X;7;JP
SAPPORO^(JGSDF/C;RJCO;&;47479;43;07N;141;22E;11;X;7;JP
REBUN^ISLAND^^^^;RJCR;&;&;45;27N;141;01E;27;X;7;JP
KUSHIRO/KENEBETS;RJCS;&;47418;42;58N;144;24E;37;X;7;JP
TOKACHI^(JGSDF)^;RJCT;&;&;42;53N;143;10E;84;X;7;JP
WAKKANAI^AIRPORT;RJCW;&;47441;45;23N;141;48E;11;X;7;JP
MURORAN/YAKUMO^^;RJCY;&;47423;42;19N;140;58E;49;X;7;JP
IKI^AIRPORT^(ISL;RJDB;&;47858;33;45N;129;46E;16;X;7;JP
YAMAGUCHI/UBE^AR;RJDC;&;47786;33;55N;131;16E;8;X;7;JP
KAMIGOTO^^^^^^^^;RJDK;&;&;33;01N;129;10E;20;X;7;JP
METABARU^(JASDF);RJDM;&;47860;33;19N;130;25E;19;X;7;JP
OJIKA^ISLAND^^^^;RJDO;&;&;33;13N;129;03E;20;X;7;JP
TSUSHIMA^AIRPORT;RJDT;&;47799;34;16N;129;19E;66;X;7;JP
MONBETSU^AIRPORT;RJEB;&;47474;44;18N;143;24E;25;X;7;JP
ASAHIKAWA^AIRPOR;RJEC;&;47476;43;40N;142;26E;211;X;T;7;JP
OKUSHIRI^ISLAND^;RJEO;&;&;42;04N;139;26E;36;X;7;JP
RISHIRI^ISLAND^^;RJER;&;&;45;15N;141;10E;30;X;7;JP
ASHIYA^(JASDF)^^;RJFA;&;47803;33;52N;130;39E;33;X;7;JP
YAKUSHIMA^ISLAND;RJFC;&;47836;30;22N;130;40E;38;X;7;JP
FUKUE^AIRPORT^^^;RJFE;&;47844;32;40N;128;49E;80;X;7;JP
FUKUOKA/ITAZUKE^;RJFF;&;47808;33;34N;130;26E;12;X;T;6;JP
TANEGASHIMA^AIRP;RJFG;&;47870;30;37N;130;59E;95;X;7;JP
KAGOSHIMA^AIRPOR;RJFK;&;47851;31;48N;130;43E;275;X;T;6;JP
MIYAZAKI^AIRPORT;RJFM;&;47857;31;52N;131;26E;9;X;T;6;JP
NYUTABARU^(JASDF;RJFN;&;47854;32;04N;131;26E;82;X;7;JP
OITA^AIRPORT^^^^;RJFO;&;47852;33;28N;131;43E;8;X;T;6;JP
KITAKYUSHU/KOKUR;RJFR;&;47853;33;49N;131;02E;6;X;T;7;JP
SAGA^AIRPORT^^^^;RJFS;&;&;33;09N;130;18E;5;X;7;JP
KUMAMOTO(CIV/JAS;RJFT;&;47856;32;49N;130;50E;196;X;T;6;JP
NAGASAKI(CIV/JMS;RJFU;&;47855;32;55N;129;55E;5;X;T;6;JP
